                  20170515 洛阳钼业 (603993)
 时间	    价格	    成交	笔数	
10:04	    4.19	      11	0	B	
10:04	    4.19	    2086	0	B	
10:04	    4.18	       7	0	S	
10:04	    4.19	     120	0	B	
10:04	    4.18	      24	0	S	
10:04	    4.18	      23	0	S	
10:05	    4.19	      72	0	B	
10:05	    4.18	      20	0	S	
10:05	    4.18	      31	0	S	
10:05	    4.18	      20	0	S	
10:05	    4.19	     343	0	B	
10:05	    4.19	       1	0	B	
10:05	    4.18	      20	0	S	
10:05	    4.18	      62	0	S	
10:05	    4.18	     149	0	S	
10:05	    4.19	     125	0	B	
10:05	    4.18	      36	0	S	
10:05	    4.19	     105	0	B	
10:05	    4.19	      51	0	B	
10:05	    4.18	       3	0	S	
10:05	    4.18	      16	0	S	
10:05	    4.19	      18	0	B	
10:05	    4.18	      50	0	S	
10:06	    4.19	      67	0	B	
10:06	    4.18	       1	0	S	
10:06	    4.19	       3	0	B	
10:06	    4.19	      20	0	B	
10:06	    4.18	      40	0	S	
10:06	    4.19	      35	0	B	
10:06	    4.19	       4	0	B	
10:06	    4.18	      55	0	S	
10:06	    4.18	      55	0	S	
10:06	    4.19	      63	0	B	
10:06	    4.19	       3	0	B	
10:06	    4.18	     101	0	S	
10:06	    4.18	      30	0	S	
10:06	    4.18	       2	0	S	
10:06	    4.19	      29	0	B	
10:07	    4.19	      10	0	B	
10:07	    4.18	     176	0	S	
10:07	    4.19	       2	0	B	
10:07	    4.19	     168	0	B	
10:07	    4.18	      61	0	S	
10:07	    4.18	     230	0	S	
10:07	    4.19	       2	0	B	
10:07	    4.19	       3	0	B	
10:07	    4.19	     120	0	B	
10:07	    4.19	       1	0	B	
10:07	    4.19	      10	0	B	
10:07	    4.19	      41	0	B	
10:07	    4.18	      30	0	S	
10:07	    4.19	       6	0	B	
10:07	    4.19	     372	0	B	
10:07	    4.19	    1917	0	B	
10:08	    4.19	       7	0	S	
10:08	    4.19	       1	0	S	
10:08	    4.20	       9	0	B	
10:08	    4.20	      13	0	B	
10:08	    4.19	     155	0	S	
10:08	    4.19	       8	0	S	
10:08	    4.20	     147	0	B	
10:08	    4.20	      13	0	B	
10:08	    4.19	      93	0	S	
10:08	    4.20	     441	0	B	
10:08	    4.19	      83	0	S	
10:08	    4.20	       5	0	B	
10:08	    4.19	       1	0	S	
10:08	    4.20	      61	0	B	
10:08	    4.20	      31	0	B	
10:09	    4.19	     101	0	S	
10:09	    4.19	       1	0	S	
10:09	    4.20	     118	0	B	
10:09	    4.20	       9	0	B	
10:09	    4.20	      22	0	B	
10:09	    4.20	      30	0	B	
10:09	    4.20	     269	0	B	
10:09	    4.20	      15	0	B	
10:09	    4.19	      36	0	S	
10:09	    4.20	     200	0	B	
10:09	    4.20	      23	0	B	
10:09	    4.20	     141	0	B	
10:09	    4.20	      34	0	B	
10:09	    4.20	     731	0	B	
10:09	    4.20	      97	0	B	
10:09	    4.20	      35	0	B	
10:09	    4.20	       9	0	B	
10:10	    4.19	      20	0	S	
10:10	    4.20	     108	0	B	
10:10	    4.20	     124	0	B	
10:10	    4.20	     465	0	B	
10:10	    4.20	       6	0	B	
10:10	    4.20	     105	0	B	
10:10	    4.19	      80	0	S	
10:10	    4.20	       5	0	B	
10:10	    4.20	      13	0	B	
10:10	    4.20	     132	0	B	
10:10	    4.20	      24	0	B	
10:10	    4.20	       8	0	B	
10:10	    4.20	      12	0	B	
10:10	    4.19	       6	0	S	
10:10	    4.20	      20	0	B	
10:11	    4.20	      30	0	B	
10:11	    4.19	      58	0	S	
10:11	    4.20	      62	0	B	
10:11	    4.20	       1	0	B	
10:11	    4.20	     459	0	B	
10:11	    4.20	       7	0	B	
10:11	    4.20	     618	0	B	
10:11	    4.19	      66	0	S	
10:11	    4.20	     391	0	B	
10:11	    4.20	       8	0	B	
10:11	    4.20	      44	0	B	
10:11	    4.20	      18	0	B	
10:11	    4.19	     121	0	S	
10:11	    4.19	       1	0	S	
10:11	    4.20	     101	0	B	
10:11	    4.19	      18	0	S	
10:12	    4.20	     202	0	B	
10:12	    4.20	       1	0	B	
10:12	    4.19	      35	0	S	
10:12	    4.19	       4	0	S	
10:12	    4.20	      63	0	B	
10:12	    4.20	      11	0	B	
10:12	    4.20	    1010	0	B	
10:12	    4.19	      50	0	S	
10:12	    4.19	       3	0	S	
10:12	    4.19	      49	0	S	
10:12	    4.19	       4	0	S	
10:12	    4.20	      11	0	B	
10:12	    4.20	      60	0	B	
10:12	    4.20	     265	0	B	
10:12	    4.19	       2	0	S	
10:12	    4.20	      19	0	B	
10:13	    4.20	       8	0	B	
10:13	    4.20	      14	0	B	
10:13	    4.20	     257	0	B	
10:13	    4.20	      15	0	B	
10:13	    4.19	     214	0	S	
10:13	    4.19	      88	0	S	
10:13	    4.20	       3	0	B	
10:13	    4.19	      10	0	S	
10:13	    4.20	       2	0	B	
10:13	    4.19	      54	0	S	
10:13	    4.19	      46	0	S	
10:13	    4.19	     493	0	S	
10:13	    4.19	      24	0	S	
10:13	    4.19	       5	0	S	
10:13	    4.19	      42	0	S	
10:13	    4.20	      44	0	B	
10:14	    4.20	      97	0	B	
10:14	    4.20	       4	0	B	
10:14	    4.20	      25	0	B	
10:14	    4.20	       2	0	B	
10:14	    4.20	     168	0	B	
10:14	    4.20	      28	0	B	
10:14	    4.20	      52	0	B	
10:14	    4.20	       6	0	B	
10:14	    4.20	      14	0	B	
10:14	    4.20	     100	0	B	
10:14	    4.20	     315	0	B	
10:14	    4.20	      94	0	B	
10:14	    4.20	    3609	0	B	
10:14	    4.20	       1	0	S	
10:14	    4.20	      26	0	S	
10:14	    4.20	      18	0	S	
10:15	    4.20	     115	0	S	
10:15	    4.20	     595	0	S	
10:15	    4.20	      34	0	S	
10:15	    4.20	       1	0	S	
10:15	    4.20	      13	0	S	
10:15	    4.20	      30	0	S	
10:15	    4.20	     757	0	S	
10:15	    4.20	       2	0	B	
10:15	    4.20	     114	0	B	
10:15	    4.20	      17	0	B	
10:15	    4.20	      11	0	B	
10:15	    4.20	      24	0	B	
10:15	    4.20	       3	0	B	
10:15	    4.20	       7	0	B	
10:16	    4.20	       8	0	B	
10:16	    4.20	       2	0	B	
10:16	    4.20	       5	0	B	
10:16	    4.20	     380	0	B	
10:16	    4.20	       8	0	B	
10:16	    4.19	      66	0	S	
10:16	    4.20	      10	0	B	
10:16	    4.20	      31	0	B	
10:16	    4.20	      14	0	B	
10:16	    4.20	     474	0	B	
